Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,std_pkt_size,668.89856,0-1,0-2,0-2,10.0028763,29.7222233,
0,1,0-1,Leaf,,,,,-0.00563758379,15.5555563,
0,2,0-2,avg_dt_intensity,63975089800000.0,0-3,0-4,0-4,33.3835411,14.166667,
0,3,0-3,Leaf,,,,,-0.00542553188,9.44444466,
0,4,0-4,Leaf,,,,,0.0247572791,4.72222233,
1,0,1-0,std_iat,7.49693791e-05,1-1,1-2,1-2,19.4258118,28.6111126,
1,1,1-1,Leaf,,,,,-0.00569405081,18.6111126,
1,2,1-2,total_packets,20817.0,1-3,1-4,1-4,21.0287704,10.0,
1,3,1-3,Leaf,,,,,-0.00489795906,4.44444466,
1,4,1-4,max_iat,0.000882999972,1-5,1-6,1-6,0.681606293,5.55555582,
1,5,1-5,Leaf,,,,,0.0244897939,4.44444466,
1,6,1-6,Leaf,,,,,0.00631578919,1.11111116,
2,0,2-0,std_iat,0.00076957891,2-1,2-2,2-2,38.1339073,27.2222233,
2,1,2-1,Leaf,,,,,-0.00575057743,23.0555573,
2,2,2-2,Leaf,,,,,0.0241935458,4.16666698,
3,0,3-0,reverse_num_packets,1033.0,3-1,3-2,3-2,8.87540245,30.5555573,
3,1,3-1,max_iat,0.000239999994,3-3,3-4,3-4,34.7743416,15.2777786,
3,2,3-2,Leaf,,,,,-0.00563139888,15.2777786,
3,3,3-3,Leaf,,,,,0.0247572791,4.72222233,
3,4,3-4,Leaf,,,,,-0.00548076909,10.5555563,
4,0,4-0,min_pkt_size,1474.0,4-1,4-2,4-2,12.3606224,30.5555573,
4,1,4-1,Leaf,,,,,-0.00564935012,16.1111126,
4,2,4-2,dt_intensity,958863704000.0,4-3,4-4,4-4,10.6576366,14.4444447,
4,3,4-3,max_iat,0.000882999972,4-5,4-6,4-6,25.0713539,9.72222233,
4,4,4-4,Leaf,,,,,-0.0049514561,4.72222233,
4,5,4-5,Leaf,,,,,0.0252212379,5.27777815,
4,6,4-6,Leaf,,,,,-0.00489795906,4.44444466,
5,0,5-0,packet_rate,619.673767,5-1,5-2,5-2,49.0867691,31.6666679,
5,1,5-1,Leaf,,,,,0.0252212379,5.27777815,
5,2,5-2,Leaf,,,,,-0.00578093296,26.3888893,
6,0,6-0,byte_rate,57297380.0,6-1,6-2,6-2,18.3148136,29.9936504,
6,1,6-1,Leaf,,,,,-0.00571124582,20.1968269,
6,2,6-2,min_iat,2.40000008e-05,6-3,6-4,6-4,24.2053185,9.79682255,
6,3,6-3,Leaf,,,,,0.0242278371,4.81756496,
6,4,6-4,Leaf,,,,,-0.00499136094,4.97925758,
7,0,7-0,max_pkt_size,1475.0,7-1,7-2,7-2,7.63595963,28.0469551,
7,1,7-1,Leaf,,,,,-0.00557385385,13.2769241,
7,2,7-2,bytes,281149920.0,7-3,7-4,7-4,9.1334734,14.770031,
7,3,7-3,total_packets,20817.0,7-5,7-6,7-6,22.5854607,9.2328167,
7,4,7-4,Leaf,,,,,-0.00507800281,5.53721428,
7,5,7-5,Leaf,,,,,-0.00494401762,4.70551443,
7,6,7-6,Leaf,,,,,0.0240095537,4.52730227,
8,0,8-0,num_packets,2085.0,8-1,8-2,8-2,42.3073769,29.736845,
8,1,8-1,avg_bytes,3071963.5,8-3,8-4,8-4,9.01266861,7.0554142,
8,2,8-2,Leaf,,,,,-0.00574057503,22.6814289,
8,3,8-3,Leaf,,,,,-0.00314795715,1.10627925,
8,4,8-4,Leaf,,,,,0.0250572227,5.94913483,
9,0,9-0,avg_bytes,289060192.0,9-1,9-2,9-2,49.8618393,30.8435535,
9,1,9-1,Leaf,,,,,-0.00576494029,25.1752872,
9,2,9-2,Leaf,,,,,0.0248664208,5.66826582,
10,0,10-0,rms_pkt_size,1474.0,10-1,10-2,10-2,10.7045918,31.9497528,
10,1,10-1,Leaf,,,,,-0.00564228883,16.0457268,
10,2,10-2,packet_rate,619.673767,10-3,10-4,10-4,11.5763092,15.904026,
